TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION
Indigo_NPS_Raw_Data,Actual On Block Time,string,Actual On Block Time
Indigo_NPS_Raw_Data,Actual Off Block Time,string,Actual Off Block Time
Indigo_NPS_Raw_Data,Airborne Time,string,Airborne Time
Indigo_NPS_Raw_Data,Domestic Flag,string,Domestic Flag
Indigo_NPS_Raw_Data,International Flag (not in use),string,International Flag (not in use)
Indigo_NPS_Raw_Data,Infant Indicator,float,Infant Indicator
Indigo_NPS_Raw_Data,Departure Terminal,string,Departure Terminal
Indigo_NPS_Raw_Data,Journey Type,string,Journey Type
Indigo_NPS_Raw_Data,Is Moved,string,Is Moved
Indigo_NPS_Raw_Data,Arrival Terminal,string,Arrival Terminal
Indigo_NPS_Raw_Data,AC Reg Id,string,AC Reg Id
Indigo_NPS_Raw_Data,Crew Base1(LDE),string,Crew Base1(LDE)
Indigo_NPS_Raw_Data,Crew Base2(CA),string,Crew Base2(CA)
Indigo_NPS_Raw_Data,Crew Base3(CA),string,Crew Base3(CA)
Indigo_NPS_Raw_Data,Crew Base4(CA),string,Crew Base4(CA)
Indigo_NPS_Raw_Data,Is Moved Date,string,Is Moved Date
Indigo_NPS_Raw_Data,Total No Of Pax,integer,Total No Of Pax
Indigo_NPS_Raw_Data,Meal Item,float,Meal Item
Indigo_NPS_Raw_Data,Crew Name,string,Crew Name
Indigo_NPS_Raw_Data,CrewName_CA2,string,CrewName_CA2
Indigo_NPS_Raw_Data,CrewName_CA3,string,CrewName_CA3
Indigo_NPS_Raw_Data,CrewName_CA4,string,CrewName_CA4
Indigo_NPS_Raw_Data,IGA Code,string,IGA Code
Indigo_NPS_Raw_Data,CrewIGACode_CA2,string,CrewIGACode_CA2
Indigo_NPS_Raw_Data,CrewIGACode_CA3,string,CrewIGACode_CA3
Indigo_NPS_Raw_Data,CrewIGACode_CA4,string,CrewIGACode_CA4
Indigo_NPS_Raw_Data,Dependent Region,float,Dependent Region
Indigo_NPS_Raw_Data,Language,string,Language
Indigo_NPS_Raw_Data,Is Reminder Sent,string,Is Reminder Sent
Indigo_NPS_Raw_Data,Survey Invitation__c ID,string,Survey Invitation__c ID
Indigo_NPS_Raw_Data,Promotors,integer,Promotors
Indigo_NPS_Raw_Data,Passive,integer,Passive
Indigo_NPS_Raw_Data,Detractors,integer,Detractors
Indigo_NPS_Raw_Data,Channels,string,Channels
Indigo_NPS_Raw_Data,Device,string,Device
Indigo_NPS_Raw_Data,Device Name,string,Device Name
Indigo_NPS_Raw_Data,Browser,string,Browser
Indigo_NPS_Raw_Data,User Agent,string,User Agent
Indigo_NPS_Raw_Data,ABC01,integer,ABC01
Indigo_NPS_Raw_Data,Are you Travelling,float,Are you Travelling
Indigo_NPS_Raw_Data,Mode of your return journey,float,Mode of your return journey
Indigo_NPS_Raw_Data,CaptainName,string,CaptainName
Indigo_NPS_Raw_Data,CaptainBase,string,CaptainBase
